総合順位	No.	氏名	年齢	性別	居住地	総合記録	SWIM	Ｓ順	バイク	Ｂ順	スプリット	通過	ラン	Ｒ順	男子順位	女子順位	年齢区分	年齢別順
405	401	佐藤  秀一	55	男	山形県	3:32:40	0:47:37	443	1:38:39	424	2:26:16	433	1:06:24	320	345		55-59男子	57
406	641	関谷 淳子	50	女	栃木県	3:33:02	0:40:55	402	1:36:21	405	2:17:16	405	1:15:46	398		61	50-54女子	11
407	150	深谷  瑞樹	31	男	愛知県	3:33:18	0:48:21	448	1:31:55	358	2:20:16	415	1:13:02	378	346		30-34男子	9
408	481	新倉  猛志	62	男	東京都	3:33:48	0:37:18	354	1:38:36	423	2:15:54	398	1:17:54	410	347		60-64男子	33
409	203	山本 真大	41	男	大阪府	3:34:01	0:39:34	385	1:44:41	443	2:24:15	426	1:09:46	350	348		40-44男子	26
410	667	豊島 由香	61	女	新潟県	3:34:12	0:37:40	365	1:40:24	429	2:18:04	408	1:16:08	401		62	60-64女子	6
411	605	鈴木 杏実花	22	女	福島県	3:35:24	0:37:25	357	1:44:51	445	2:22:16	421	1:13:08	380		63	20-24女子	6
412	169	加藤 明仁	36	男	神奈川県	3:35:50	0:45:07	428	1:36:23	407	2:21:30	419	1:14:20	387	349		35-39男子	22
413	239	渡邊 牧人	46	男	新潟県	3:37:11	0:39:59	393	1:35:12	393	2:15:11	394	1:22:00	432	350		45-49男子	55
414	535	東海林 孝	69	男	東京都	3:37:36	0:42:28	411	1:41:12	432	2:23:40	425	1:13:56	383	351		65-69男子	23
415	646	関 八重子	51	女	新潟県	3:38:02	0:42:57	414	1:48:07	451	2:31:04	445	1:06:58	325		64	50-54女子	12
416	403	式場  茂	55	男	神奈川県	3:38:10	0:45:01	427	1:36:40	409	2:21:41	420	1:16:29	404	352		55-59男子	58
417	291	石田 大祐	49	男	新潟県	3:38:21	0:46:07	433	1:33:19	375	2:19:26	412	1:18:55	415	353		45-49男子	56
418	114	辻本 渉之介	21	男	福島県	3:38:43	0:36:02	318	1:27:54	299	2:03:56	316	1:34:47	454	354		20-24男子	27
419	608	鏡 鈴	23	女	京都府	3:38:44	0:34:35	275	1:41:31	434	2:16:06	400	1:22:38	435		65	20-24女子	7
420	557	鈴木 盈	81	男	新潟県	3:39:41	0:33:53	247	1:44:20	441	2:18:13	409	1:21:28	427	355		80-84男子	1
421	523	奥山  信也	67	男	山形県	3:40:07	0:50:17	452	1:29:24	325	2:19:41	414	1:20:26	422	356		65-69男子	24
422	550	嶋倉 泰裕	75	男	新潟県	3:40:23	0:43:17	418	1:43:02	439	2:26:19	434	1:14:04	384	357		75-79男子	6
423	633	照沼  景子	46	女	東京都	3:40:47	0:39:48	390	1:46:32	449	2:26:20	435	1:14:27	389		66	45-49女子	14
424	663	古田島 由紀子	59	女	新潟県	3:42:11	0:55:05	459	1:34:23	384	2:29:28	443	1:12:43	375		67	55-59女子	9
425	430	櫻井 孝之	57	男	新潟県	3:42:12	0:49:50	451	1:37:46	416	2:27:36	439	1:14:36	390	358		55-59男子	59
426	611	森田 ひかり	28	女	東京都	3:42:28	0:39:02	378	1:45:27	447	2:24:29	428	1:17:59	412		68	25-29女子	5
427	465	井上 辰司	60	男	栃木県	3:42:57	0:52:53	455	1:35:57	400	2:28:50	441	1:14:07	386	359		60-64男子	34
428	175	楠田 明浩	36	男	埼玉県	3:43:05	0:46:37	438	1:34:32	388	2:21:09	418	1:21:56	430	360		35-39男子	23
429	164	白久 レイエス樹	35	男	東京都	3:43:41	0:59:54	462	1:35:50	398	2:35:44	452	1:07:57	337	361		35-39男子	24
430	485	永井  達	62	男	東京都	3:43:51	0:41:05	403	1:30:18	340	2:11:23	371	1:32:28	450	362		60-64男子	35
431	400	大杉 忠広	55	男	新潟県	3:45:37	0:37:21	356	1:35:14	394	2:12:35	380	1:33:02	451	363		55-59男子	60
432	516	久保 明彦	66	男	千葉県	3:45:43	0:46:14	436	1:38:11	421	2:24:25	427	1:21:18	426	364		65-69男子	25
433	135	佐藤 彗斗	25	男	神奈川県	3:46:32	0:53:24	456	1:42:43	438	2:36:07	454	1:10:25	357	365		25-29男子	10
434	426	平田 芳久	57	男	大阪府	3:47:22	0:46:38	439	1:39:13	425	2:25:51	432	1:21:31	428	366		55-59男子	61
435	613	佐藤 実咲	32	女	東京都	3:47:35	0:42:59	416	1:45:31	448	2:28:30	440	1:19:05	417		69	30-34女子	5
436	474	塩谷  雅芳	61	男	神奈川県	3:47:49	0:47:41	444	1:38:04	419	2:25:45	430	1:22:04	433	367		60-64男子	36
437	508	松本  隆悦	65	男	青森県	3:47:55	0:47:46	446	1:38:01	418	2:25:47	431	1:22:08	434	368		65-69男子	26
438	675	玉井 里美	65	女	愛媛県	3:48:15	0:39:08	382	1:39:29	426	2:18:37	411	1:29:38	445		70	65-69女子	4
439	368	樋下田 隆史	53	男	埼玉県	3:49:08	0:37:12	350	1:43:06	440	2:20:18	416	1:28:50	444	369		50-54男子	74
440	238	有田 純也	45	男	新潟県	3:50:12	0:46:44	440	1:44:23	442	2:31:07	446	1:19:05	416	370		45-49男子	57
441	509	下司  弘之	65	男	茨城県	3:50:57	0:55:26	460	1:41:06	431	2:36:32	455	1:14:25	388	371		65-69男子	27
442	660	坂田  弘美	57	女	東京都	3:51:43	0:44:27	423	1:41:55	436	2:26:22	436	1:25:21	440		71	55-59女子	10
443	270	村山  慶輔	48	男	東京都	3:54:28	0:48:32	449	1:47:02	450	2:35:34	451	1:18:54	414	372		45-49男子	58
444	539	沖村 政則	71	男	東京都	3:55:40	0:40:36	399	1:33:13	374	2:13:49	388	1:41:51	456	373		70-74男子	5
445	171	中俣  純	36	男	新潟県	3:56:03	0:46:13	434	1:53:52	456	2:40:05	458	1:15:58	400	374		35-39男子	25
446	333	錦織 真一郎	52	男	新潟県	3:58:41	0:31:28	175	1:53:32	455	2:25:00	429	1:33:41	452	375		50-54男子	75
447	160	馬場 星矢	35	男	熊本県	3:58:53	0:47:45	445	1:41:18	433	2:29:03	442	1:29:50	446	376		35-39男子	26
448	623	宮井 亜紗子	40	女	神奈川県	4:00:00	0:46:36	437	1:45:08	446	2:31:44	447	1:28:16	442		72	40-44女子	3
TOV	494	北野  健二	63	男	東京都	4:02:19	0:41:32	407	1:49:11	453	2:30:43	444	1:31:36	448	377		60-64男子	
TOV	672	高野 栄美子	64	女	新潟県	4:03:12	0:44:51	425	1:54:44	458	2:39:35	457	1:23:37	438			60-64女子	
TOV	499	根橋  克明	64	男	長野県	4:04:14	0:47:31	442	1:44:50	444	2:32:21	448	1:31:53	449	378		60-64男子	
TOV	462	仲谷  善文	60	男	東京都	4:04:44	0:54:05	458	1:40:19	428	2:34:24	450	1:30:20	447	379		60-64男子	
TOV	548	菊池  裕幸	75	男	岩手県	4:06:48	0:43:27	420	1:40:02	427	2:23:29	424	1:43:19	457	380		75-79男子	
TOV	510	中川 隆之	65	男	埼玉県	4:08:08	0:40:35	398	1:41:56	437	2:22:31	423	1:45:37	458	381		65-69男子	
TOV	619	白久 千尋	36	女	東京都	4:09:28	0:53:38	457	1:56:17	460	2:49:55	459	1:19:33	419			35-39女子	
TOV	554	藤田 勉	78	男	東京都	4:10:02	0:47:28	441	1:48:36	452	2:36:04	453	1:33:58	453	382		75-79男子	
TOV	408	宮澤 典友	56	男	東京都	4:10:42	0:43:21	419	1:50:55	454	2:34:16	449	1:36:26	455	383		55-59男子	
TOV	615	秋元 里奈	33	女	東京都	4:14:20	0:58:37	461	1:55:15	459	2:53:52	460	1:20:28	423			30-34女子	
DNF	186	田中 福太郎	38	男	新潟県		0:40:44	401	1:33:00	371	2:13:44	385					35-39男子	
DNF	556	浅野 良三	80	男	新潟県		0:45:12	429	1:53:57	457	2:39:09	456					80-84男子	
DNF	6	阿部 朋加	22	女	新潟県		0:29:05	104									20-24女子	
DNF	411	飯田 博之	56	男	愛知県		0:25:03	34									55-59男子	
DNF	242	佐藤 太一	46	男	長野県												45-49男子	
DNF	415	高見澤 哲矢	56	男	宮城県												55-59男子	
DNF	460	村尾 龍雄	60	男	東京都												60-64男子	
DNF	500	青山 均	64	男	新潟県												60-64男子	
TOV	179	蓮尾  亮	37	男	東京都		1:00:22		1:58:39		2:59:01						35-39男子	
TOV	245	関根  孝幸	46	男	宮城県	3:46:08	1:01:55		1:44:37		2:46:32		0:59:36				45-49男子	
TOV	679	内藤 千恵子	71	女	新潟県		1:10:07										70以上女子	
SKIP	219	鈴木 通衛	43	男	宮城県				1:23:29				1:08:05				40-44男子	
SKIP	283	上原 洋明	49	男	新潟県				1:24:05				0:57:05				45-49男子	
SKIP	332	井ノ上 陽一	52	男	東京都				1:23:50				1:14:42				50-54男子	
SKIP	344	山本  篤廣	52	男	東京都				1:34:32				1:18:39				50-54男子	
DSQ	136	下村 勇喜	26	男	長野県	2:06:45	0:26:36		1:08:21		1:34:57		0:31:48				25-29男子	
DSQ	237	鈴木 裕之	45	男	東京都	2:09:19	0:26:58		1:08:24		1:35:22		0:33:57				45-49男子	
DSQ	240	Romero  Antarqui	46	男	新潟県	3:14:21	0:36:12		1:33:10		2:09:22		1:04:59				45-49男子	
DSQ	530	森 秀美	69	男	青森県	3:05:28	0:48:04		1:23:19		2:11:23		0:54:05				65-69男子	
DSQ	634	多田  純子	46	女	宮城県	2:26:46	0:30:23		1:14:45		1:45:08		0:41:38				45-49女子	
