総合 順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子 順位	女子 順位	年齢区分	年齡 別順
389	442	深水 一成	58	男	大阪府	5:37:00	0:45:28	306	2:09:03	329	2:54:31	320	2:42:29	418		362		50～59歳男子	64
390	464	髙橋 勝之	72	男	豊橋市	5:37:17	0:48:36	365	2:24:19	431	3:12:55	419	2:24:22	355		363		60歳以上男子	8
391	359	明石 竜彦	50	男	知多市	5:37:20	0:42:45	221	2:25:29	434	3:08:14	400	2:29:06	374		364		50～59歳男子	65
392	249	沖見 卓哉	24	男	豊橋市	5:37:36	0:57:43	438	2:05:16	286	3:02:59	369	2:34:37	398		365		18～29歳男子	23
393	325	濱野 和久	47	男	三重県	5:37:44	0:46:45	338	2:07:50	319	2:54:35	321	2:41:09	415	120	366		40～49歳男子	155
394	262	弓場 隆成	34	男	名古屋市	5:37:47	0:51:44	400	2:15:15	381	3:06:59	393	2:30:48	382		367		30～39歳男子	113
395	500	山田 真理子	63	女	名古屋市	5:37:57	0:43:36	250	2:33:09	449	3:16:45	430	2:21:12	338			28	60歳以上女子	1
396	412	昌山 秀隆	54	男	愛西市	5:38:36	0:51:55	404	2:29:34	444	3:21:29	439	2:17:07	319		368		50～59歳男子	66
397	42	平井 陽一	30	男	田原市	5:39:15	0:44:23	273	2:23:28	428	3:07:51	397	2:31:24	385		369		30～39歳男子	114
398	484	中部 直子	42	女	東郷町	5:39:24	0:52:07	407	2:15:55	386	3:08:02	398	2:31:22	384			29	40～49歳女子	13
399	421	青木 孝	54	男	豊田市	5:40:17	0:46:51	340	2:10:55	348	2:57:46	346	2:42:31	419		370		50～59歳男子	67
400	198	真野 尚功	42	男	田原市	5:40:29	0:48:41	367	2:33:01	448	3:21:42	440	2:18:47	327		371		40～49歳男子	156
401	449	袴田 真吉	61	男	静岡県	5:41:15	0:42:23	210	2:12:13	358	2:54:36	322	2:46:39	429		372		60歳以上男子	9
402	433	葛井 信行	56	男	三重県	5:41:36	0:46:05	324	2:18:57	407	3:05:02	382	2:36:34	404		373		50～59歳男子	68
403	448	竹内 学	60	男	日進市	5:42:10	0:51:48	403	2:06:10	300	2:57:58	348	2:44:12	423		374		60歳以上男子	10
404	440	中西 正明	57	男	刈谷市	5:42:31	0:53:08	416	2:15:56	388	3:09:04	404	2:33:27	397		375		50～59歳男子	69
405	292	笹尾 信志	45	男	豊川市	5:43:15	1:42:52	457	2:03:37	264	3:46:29	454	1:56:46	168		376		40～49歳男子	157
406	416	山内 豊明	54	男	千葉県	5:44:04	0:46:10	328	2:17:44	399	3:03:54	379	2:40:10	413		377		50～59歳男子	70
407	11	折元 匠馬	21	男	豊橋市	5:44:31	0:54:50	428	2:17:22	397	3:12:12	417	2:32:19	390		378		18～29歳男子	24
408	228	中島 松幸	44	男	豊田市	5:44:53	0:49:55	389	2:11:29	352	3:01:24	364	2:43:29	422		379		40～49歳男子	158
409	217	高橋 信治	43	男	名古屋市	5:45:28	0:44:59	292	2:17:55	401	3:02:54	368	2:42:34	420		380		40～49歳男子	159
410	399	久野 幸信	53	男	大府市	5:45:32	1:04:41	452	2:03:55	269	3:08:36	401	2:36:56	405		381		50～59歳男子	71
411	486	小川 ゆみ	43	女	東京都	5:46:12	0:51:47	401	2:16:23	392	3:08:10	399	2:38:02	409			30	40～49歳女子	14
412	386	福村 勝央	52	男	京都府	5:46:39	0:45:21	302	2:18:07	403	3:03:28	374	2:43:11	421		382		50～59歳男子	72
413	275	佐藤 拓也	43	男	名古屋市	5:46:59	0:59:49	443	2:14:36	375	3:14:25	423	2:32:34	393		383		40～49歳男子	160
414	199	中島 洋一	42	男	東京都	5:47:21	0:48:21	361	2:10:24	343	2:58:45	355	2:48:36	433		384		40～49歳男子	161
415	423	藤井 雅乗	54	男	大阪府	5:47:28	0:45:06	295	2:13:39	369	2:58:45	356	2:48:43	435		385		50～59歳男子	73
416	493	須計 貴美代	48	女	三重県	5:47:44	0:52:53	415	2:24:08	430	3:17:01	431	2:30:43	381			31	40～49歳女子	15
417	29	加藤 康之	28	男	名古屋市	5:49:21	0:41:56	193	2:23:04	426	3:05:00	381	2:44:21	426		386		18～29歳男子	25
418	239	赤崎 宏治	44	男	京都府	5:49:40	0:40:49	151	2:03:21	260	2:44:10	224	3:05:30	448		387		40～49歳男子	162
419	289	有吉 稔	45	男	豊橋市	5:50:19	0:46:53	341	2:19:08	409	3:06:01	386	2:44:18	425		388		40～49歳男子	163
420	454	小池 利昭	63	男	奈良県	5:51:31	0:49:19	377	2:39:49	451	3:29:08	446	2:22:23	346		389		60歳以上男子	11
421	32	東石 元	29	男	奈良県	5:51:54	0:52:48	413	2:26:31	440	3:19:19	434	2:32:35	394		390		18～29歳男子	26
422	14	川越 聡	22	男	豊橋市	5:52:06	1:10:22	455	2:10:06	337	3:20:28	437	2:31:38	387		391		18～29歳男子	27
423	62	中谷 哲也	33	男	三重県	5:52:16	0:40:51	153	2:25:43	436	3:06:34	390	2:45:42	428		392		30～39歳男子	115
424	336	大本 和輝	48	男	大阪府	5:52:54	0:46:24	332	2:08:56	326	2:55:20	328	2:57:34	440		393		40～49歳男子	164
425	95	村田 誠	35	男	神奈川県	5:53:35	0:44:29	277	2:31:18	446	3:15:47	428	2:37:48	408		394		30～39歳男子	116
426	374	奥 卓也	51	男	三重県	5:53:49	1:01:01	446	2:20:00	417	3:21:01	438	2:32:48	395		395		50～59歳男子	74
427	402	神門 英昭	53	男	兵庫県	5:54:15	0:52:14	408	2:30:49	445	3:23:03	441	2:31:12	383		396		50～59歳男子	75
428	274	小坂 晃義	43	男	兵庫県	5:54:27	0:50:18	392	2:19:51	412	3:10:09	411	2:44:18	424		397		40～49歳男子	165
429	242	金井 恭秀	44	男	名古屋市	5:56:58	0:52:15	409	2:09:29	332	3:01:44	365	2:55:14	439		398		40～49歳男子	166
430	444	宮崎 惣次	58	男	滋賀県	5:58:41	0:51:04	395	2:18:43	405	3:09:47	409	2:48:54	436		399		50～59歳男子	76
431	445	小野 勝義	58	男	三重県	5:59:08	0:55:07	430	2:22:59	425	3:18:06	432	2:41:02	414		400		50～59歳男子	77
432	237	田邉 正明	44	男	大阪府	5:59:49	0:48:45	368	2:10:54	347	2:59:39	360	3:00:10	445		401		40～49歳男子	167
433	291	福田 浩二	45	男	豊川市	5:59:56	1:01:17	448	2:10:41	346	3:11:58	415	2:47:58	430		402		40～49歳男子	168
434	456	山口 清	65	男	新城市	6:00:33	0:42:22	207	1:58:16	190	2:40:38	189	3:19:55	450		403		60歳以上男子	12
435	394	若森 利和	52	男	滋賀県	6:01:18	0:54:07	426	2:12:11	357	3:06:18	388	2:55:00	438		404		50～59歳男子	78
436	397	西村 敬三	52	男	和歌山県	6:01:32	0:50:31	393	2:13:09	365	3:03:40	375	2:57:52	442		405		50～59歳男子	79
437	450	遠山 兼正	61	男	岡崎市	6:01:50	0:59:31	441	2:19:56	414	3:19:27	435	2:42:23	417		406		60歳以上男子	13
438	13	向島 誠貴	22	男	豊橋市	6:03:32	0:41:34	182	2:49:07	454	3:30:41	448	2:32:51	396		407		18～29歳男子	28
439	260	高橋 亮介	32	男	東京都	6:04:08	0:52:52	414	2:22:54	424	3:15:46	427	2:48:22	431		408		30～39歳男子	117
440	420	古川 幸宏	54	男	田原市	6:04:21	0:51:30	398	2:15:15	380	3:06:45	392	2:57:36	441		409		50～59歳男子	80
441	438	伊藤 明	57	男	豊橋市	6:07:18	0:49:21	379	2:17:02	394	3:06:23	389	3:00:55	446		410		50～59歳男子	81
442	251	伊藤 勇基	28	男	刈谷市	6:10:17	1:02:45	449	2:22:33	422	3:25:18	442	2:44:59	427		411		18～29歳男子	29
443	424	柴田 光秀	54	男	豊田市	6:10:41	1:11:41	456	2:17:47	400	3:29:28	447	2:41:13	416		412		50～59歳男子	82
444	350	山下 卓男	49	男	新城市	6:11:45	0:45:32	309	2:01:40	238	2:47:12	260	3:24:33	451		413		40～49歳男子	169
445	434	田中 弘実	56	男	大阪府	6:12:44	1:09:25	454	2:28:14	443	3:37:39	452	2:35:05	400		414		50～59歳男子	83
446	308	伊藤 和博	46	男	一宮市	6:15:33	0:54:23	427	2:21:24	420	3:15:47	429	2:59:46	444		415		40～49歳男子	170
447	261	村瀬 智洋	34	男	豊橋市	6:16:04	0:53:29	419	2:18:43	404	3:12:12	418	3:03:52	447		416		30～39歳男子	118
448	405	鈴木 克広	53	男	田原市	6:17:35	0:53:19	417	2:26:15	438	3:19:34	436	2:58:01	443		417		50～59歳男子	84
449	408	藤巻 利宏	53	男	岐阜県	6:21:58	1:09:24	453	2:32:55	447	3:42:19	453	2:39:39	412		418		50～59歳男子	85
450	459	外山 彰	66	男	大阪府	6:22:17	0:49:27	381	2:19:54	413	3:09:21	406	3:12:56	449		419		60歳以上男子	14
451	491	原 幸恵	47	女	岐阜県	6:23:00	0:56:13	434	2:38:16	450	3:34:29	450	2:48:31	432			32	40～49歳女子	16
TOV	407	小宮 聡	53	男	名古屋市	6:45:59	1:00:58	445	2:26:34	441	3:27:32	443	3:18:27					50～59歳男子	
TOV	458	小野 時雄	66	男	春日井市	6:46:49	0:53:28	418	2:42:05	452	3:35:33	451	3:11:16					60歳以上男子	
DNF	351	出見 靖	49	男	春日井市		1:03:13	450	2:25:48	437	3:29:01	445						40～49歳男子	
DNF	437	脇阪 公昭	57	男	大阪府		0:44:32	280										50～59歳男子	
DNF	105	仲本 祥太郎	36	男	岐阜県		0:45:47	316										30～39歳男子	
DNF	353	石田 淳	49	男	名古屋市		0:47:27	349										40～49歳男子	
SKIP	241	大谷 恒昭	44	男	大阪府				2:31:49				2:41:40					40～49歳男子	
SKIP	257	各務 九介	31	男	豊田市				2:25:21				2:16:32					30～39歳男子	
SKIP	273	小川 隆之	40	男	岐阜県				2:16:49				2:54:24					40～49歳男子	
SKIP	343	岡本 英彦	49	男	千葉県				2:16:30				2:46:42					40～49歳男子	
SKIP	348	寺地 徹	49	男	東京都													40～49歳男子	
SKIP	417	村上 正則	54	男	東海市		0:43:29						2:03:17					50～59歳男子	
SKIP	477	森山 貴恵子	38	女	名古屋市		0:45:12						1:48:22					30～39歳女子	
SKIP	269	柴田 高幸	39	男	三重県		0:59:29						1:45:04					30～39歳男子	
DNS	30	九井 まりお	29	男	静岡県													18～29歳男子	
DNS	34	石附 大和	29	男	西尾市													18～29歳男子	
DNS	47	相原 雄大	31	男	東京都													30～39歳男子	
DNS	72	ファン リン	33	男	東京都													30～39歳男子	
DNS	176	石原 昇	41	男	豊田市													40～49歳男子	
DNS	177	橋本 剛	41	男	大阪府													40～49歳男子	
DNS	193	大須賀 康人	42	男	東京都													40～49歳男子	
DNS	196	金指 崇	42	男	東京都													40～49歳男子	
DNS	200	小針 一浩	42	男	東京都													40～49歳男子	
DNS	203	内藤 雅文	42	男	豊橋市													40～49歳男子	
DNS	205	藤下 充義	42	男	京都府													40～49歳男子	
DNS	223	平岩 俊之	43	男	岡崎市													40～49歳男子	
DNS	240	江角 圭司	44	男	山梨県													40～49歳男子	
DNS	244	宮崎 哲也	44	男	東京都													40～49歳男子	
DNS	258	伊藤 光顕	31	男	名古屋市													30～39歳男子	
DNS	265	岡本 善道	35	男	静岡県													30～39歳男子	
DNS	266	池淵 和憲	36	男	鳥取県													30～39歳男子	
DNS	267	浅井 竜二郎	37	男	名古屋市													30～39歳男子	
DNS	277	鈴木 広行	44	男	千葉県													40～49歳男子	
DNS	299	小田切 英樹	46	男	名古屋市													40～49歳男子	
DNS	304	赤川 隆一	46	男	東京都													40～49歳男子	
DNS	331	村尾 嘉彦	48	男	安城市													40～49歳男子	
DNS	333	神崎 祥司	48	男	豊田市													40～49歳男子	
DNS	338	田中 昭二	48	男	三重県													40～49歳男子	
DNS	371	清水 浩企	51	男	大阪府													50～59歳男子	
DNS	381	中谷 繁雄	51	男	京都府													50～59歳男子	
DNS	429	武田 尚	55	男	名古屋市													50～59歳男子	
DNS	436	伊藤 一郎	57	男	東京都													50～59歳男子	
DNS	439	三矢 富昭	57	男	岡崎市													50～59歳男子	
DNS	447	中辻 眞可	59	男	神奈川県													50～59歳男子	
DNS	457	鍋田 満	65	男	西尾市													60歳以上男子	
DNS	462	原 章二	68	男	東京都													60歳以上男子	
DNS	465	赤星 俊一	72	男	半田市													60歳以上男子	
DNS	466	小野 恭子	50	女	神奈川県													50～59歳女子	
DNS	474	伊藤 怜	37	女	岡崎市													30～39歳女子	
