総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
参考記録	582	森 一晃	29	男	愛知県		0:33:39	73	1:31:23	143	2:05:02	105						25-29歳	
参考記録	827	吉岡 辰夫	50	男	愛知県		0:35:02	104	1:30:03	129	2:05:05	106						50-54歳	
参考記録	775	大谷 淳	46	男	愛知県		0:32:30	59	1:32:42	173	2:05:12	107						45-49歳	
参考記録	929	横木 芳弘	62	男	京都府		0:34:44	100	1:30:33	134	2:05:17	109						60-64歳	
参考記録	805	松尾 武司	48	男	三重県		0:36:42	139	1:28:59	115	2:05:41	110						45-49歳	
参考記録	671	木下 賢	39	男	愛知県		0:34:17	89	1:31:27	144	2:05:44	111						35-39歳	
参考記録	926	佐藤 利昭	62	男	三重県		0:35:57	123	1:29:57	128	2:05:54	112						60-64歳	
参考記録	902	戸塚 由幸	59	男	静岡県		0:41:06	254	1:24:57	68	2:06:03	113						55-59歳	
参考記録	930	八木 裕二	62	男	愛知県		0:34:17	88	1:32:01	160	2:06:18	114						60-64歳	
参考記録	901	井上 光雄	58	男	愛知県		0:38:02	170	1:28:19	106	2:06:21	115						55-59歳	
参考記録	751	大鹿 満貴	44	男	愛知県		0:35:45	120	1:30:59	137	2:06:44	118						40-44歳	
参考記録	983	山本 博美	44	女	愛知県		0:38:30	178	1:28:21	107	2:06:51	120						40-44歳	
参考記録	845	番 孝敏	52	男	愛知県		0:34:39	98	1:32:14	164	2:06:53	121						50-54歳	
参考記録	883	小坂 孝治	56	男	愛知県		0:33:05	64	1:33:50	192	2:06:55	122						55-59歳	
参考記録	763	河合 徹也	46	男	愛知県		0:31:23	48	1:35:49	217	2:07:12	123						45-49歳	
参考記録	547	三輪 幸平	26	男	愛知県		0:35:10	105	1:32:10	163	2:07:20	124						25-29歳	
