順位	部門	№	氏名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN		ｸﾗｽ	ｸﾗｽ別順位	JTU登録地
95	60歳以上	629	渡辺 吏	ワタナベ ツカサ	2:50:47.776	95	0:33:35.533	141	0:05:05.250	1:15:06.467	98	0:02:49.224	0:54:11.302	114	60-64M	5	東京都
96	50歳代	488	内之倉 俊朗	ウチノクラ シュンロウ	2:50:51.089	96	0:31:26.379	98	0:04:27.140	1:13:58.217	81	0:02:42.983	0:58:16.370	151	55-59M	10	宮崎県
97	60歳以上	618	田中 文顕	タナカ フミアキ	2:51:11.299	97	0:33:30.759	139	0:05:20.249	1:11:04.628	48	0:02:13.138	0:59:02.525	165	60-64M	6	熊本県
98	49歳以下	229	前田 健太	マエダ ケンタ	2:51:36.634	98	0:36:51.754	213	0:05:08.219	1:20:37.352	178	0:02:54.175	0:46:05.134	44	25-29M	10	宮崎県
99	50歳代	422	永富 幹盛	ナガトミ ミキモリ	2:51:44.680	99	0:33:14.788	130	0:06:02.507	1:17:01.346	122	0:02:38.855	0:52:47.184	94	50-54M	25	福岡県
100	49歳以下	375	福田 良	フクダ リョウ	2:52:10.749	100	0:30:57.422	93	0:05:14.356	1:20:54.928	183	0:04:13.898	0:50:50.145	70	45-49M	20	鹿児島県
101	49歳以下	356	岡城 良太	オカシロ リョウタ	2:52:53.623	101	0:32:19.077	107	0:06:06.410	1:15:18.801	102	0:02:51.390	0:56:17.945	135	45-49M	21	沖縄県
102	50歳代	457	金井  一馬	カナイ  カズマ	2:53:02.544	102	0:38:31.185	246	0:07:10.165	1:15:13.043	100	0:03:26.618	0:48:41.533	56	50-54M	26	千葉県
103	49歳以下	205	人見 空知	ヒトミ ソラチ	2:53:14.436	103	0:29:40.918	74	0:05:06.882	1:17:44.289	133	0:02:25.671	0:58:16.676	152	20-24M	5	学連
104	49歳以下	209	山口  波音	ヤマグチ  ナオト	2:53:53.236	104	0:33:26.576	137	0:04:16.275	1:15:19.306	103	0:02:14.004	0:58:37.075	157	20-24M	6	熊本県
105	49歳以下	292	相馬  絵	ソウマ  カイ	2:53:54.650	105	0:33:58.258	156	0:05:10.441	1:12:20.059	64	0:03:16.468	0:59:09.424	167	40-44M	10	宮崎県
106	49歳以下	386	羽島 功司	ハシマ コウジ	2:54:30.081	106	0:33:56.801	155	0:05:31.639	1:14:51.479	96	0:03:56.194	0:56:13.968	134	45-49M	22	鹿児島県
107	49歳以下	319	横山 大輔	ヨコヤマ ダイスケ	2:54:32.367	107	0:40:10.472	278	0:04:36.792	1:13:23.355	71	0:02:43.498	0:53:38.250	104	40-44M	11	東京都
108	50歳代	454	鳥羽 高彰	トバ タカアキ	2:54:34.408	108	0:30:35.478	91	0:07:09.973	1:18:04.997	134	0:04:46.520	0:53:57.440	110	50-54M	27	宮崎県
109	49歳以下	352	酒井 皓司	サカイ ヒロシ	2:54:40.333	109	0:28:02.442	50	0:05:56.620	1:15:49.335	109	0:02:55.112	1:01:56.824	199	45-49M	23	佐賀県
110	60歳以上	634	長谷川 順三	ハセガワ ジュンゾウ	2:54:43.497	110	0:27:22.755	42	0:05:00.914	1:14:24.806	89	0:02:55.133	1:04:59.889	224	60-64M	7	宮崎県
111	49歳以下	267	堀部  朋宏	ホリベ  トモヒロ	2:54:44.736	111	0:33:38.746	142	0:05:47.782	1:24:41.286	239	0:02:52.972	0:47:43.950	52	35-39M	11	東京都
112	50歳代	408	許斐 智夫	コノミ トモオ	2:54:58.402	112	0:33:02.690	127	0:06:29.530	1:11:50.046	53	0:03:52.434	0:59:43.702	172	50-54M	28	福岡県
113	50歳代	525	佐藤 博之	サトウ ヒロユキ	2:55:06.404	113	0:31:48.329	103	0:06:12.865	1:20:34.335	176	0:03:47.261	0:52:43.614	93	55-59M	11	熊本県
114	50歳代	469	丸橋 勝寿	マルハシ カツトシ	2:55:09.200	114	0:28:46.259	62	0:05:04.765	1:15:39.828	106	0:03:29.200	1:02:09.148	203	50-54M	29	熊本県
115	50歳代	461	中西 英貴	ナカニシ ヒデタカ	2:55:15.534	115	0:36:08.301	201	0:05:19.425	1:15:10.681	99	0:03:09.656	0:55:27.471	128	50-54M	30	京都府
116	50歳代	445	池見 孝雄	イケミ タカオ	2:55:25.482	116	0:34:20.860	166	0:05:07.679	1:12:11.233	61	0:04:05.910	0:59:39.800	170	50-54M	31	宮崎県
117	50歳代	517	三井 啓史	ミツイ ヒロシ	2:55:33.154	117	0:34:29.699	168	0:05:46.348	1:18:27.019	139	0:02:55.778	0:53:54.310	108	55-59M	12	宮崎県
118	49歳以下	328	松崎 卓郎	マツザキ タクロウ	2:55:47.519	118	0:34:04.638	158	0:05:34.177	1:20:33.876	174	0:03:25.159	0:52:09.669	87	40-44M	12	宮崎県
