Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
261	Scott Sucher	M	M55-59	7	5:03:13	0:34:09	2:32:37	1:48:42
262	Brenton Wood	M	M35-39	26	5:03:18	0:44:21	2:33:13	1:39:15
263	Jesus Villanueva	M	M35-39	27	5:03:18	0:34:37	2:44:42	1:37:50
264	Veronique Proulx	F	M50-54	13	5:03:23	0:35:53	2:40:23	1:40:27
265	Robert Billette	M	M25-29	40	5:03:36	0:32:24	2:38:18	1:47:33
266	Tanner James	M	M35-39	28	5:03:37	0:38:00	2:33:47	1:43:13
267	Marcus Chapman	M	M55-59	8	5:03:38	0:35:26	2:38:05	1:43:21
268	Anna Voss	F	F25-29	4	5:03:39	0:34:29	2:50:03	1:34:58
269	Jennie Hansen	F	F40-44	2	5:03:40	0:31:57	2:47:11	1:38:01
270	Adam Krommenhoek	M	M50-54	14	5:03:40	0:34:35	2:34:36	1:46:15
271	Kenny Chi	M	M18-24	18	5:04:20	0:31:30	2:44:54	1:41:16
272	Chris Williams	M	M40-44	23	5:04:29	0:37:23	2:42:11	1:38:59
273	Nils Maag	M	M25-29	41	5:04:33	0:31:14	2:36:05	1:50:03
274	Victoria Feng	F	F25-29	5	5:04:37	0:27:06	2:39:00	1:52:02
275	Jose Loyola	M	M50-54	15	5:04:40	0:30:57	2:39:51	1:45:43
276	Florian Ganz	M	M40-44	24	5:04:42	0:35:05	2:40:28	1:43:28
277	Ryan Kingston	M	M45-49	18	5:04:43	0:36:52	2:41:19	1:40:14
278	Bryan Dunn	M	M55-59	9	5:04:57	0:33:12	2:38:05	1:45:16
279	Shaun Endsley	M	M55-59	10	5:05:17	0:35:09	2:38:13	1:46:00
280	Mitt Niederhauser	M	M18-24	19	5:05:17	0:37:53	2:19:27	2:01:42
281	Felipe Acevedo	M	M45-49	19	5:05:18	0:40:39	2:39:38	1:39:00
282	Aurelien Jolly	M	M35-39	29	5:05:30	0:35:15	2:40:26	1:40:54
283	Prithvi Kannan	M	M25-29	42	5:05:36	0:34:43	2:45:31	1:38:54
284	Jeff Hinds	M	M40-44	25	5:05:46	0:36:04	2:36:46	1:44:39
285	Nate Peterson	M	M18-24	20	5:05:53	0:29:12	2:38:59	1:52:34
286	Christian Villagrana	M	M25-29	43	5:05:57	0:40:24	2:39:03	1:37:52
287	Ashley Robota	F	F40-44	3	5:06:07	0:30:43	2:41:25	1:46:46
288	Caleb Judd	M	M18-24	21	5:06:10	0:29:26	2:37:15	1:49:38
289	David Valdez	M	M35-39	30	5:06:11	0:37:07	2:34:25	1:47:04
290	Jaycob Ross	M	M40-44	26	5:06:14	0:33:09	2:45:55	1:39:52
291	Carter Wehrer	M	M35-39	31	5:06:34	0:34:58	2:38:27	1:47:16
292	Cal Nesmith	M	M40-44	27	5:06:48	0:35:11	2:47:16	1:36:00
293	Levi Claridge	M	M35-39	32	5:07:01	0:29:32	2:42:53	1:47:51
294	Rees Madsen	M	M30-34	34	5:07:03	0:35:09	2:21:23	2:02:19
295	Christian Brown	M	M30-34	35	5:07:06	0:25:42	2:40:49	1:51:16
296	William Wilkes	M	M35-39	33	5:07:20	0:36:16	2:46:57	1:34:05
297	Brady Williams	M	M30-34	36	5:07:20	0:34:01	2:44:17	1:41:37
298	Milan Bryant	M	M18-24	22	5:07:22	0:31:22	2:53:36	1:37:03
299	Paul Harrison	M	M30-34	37	5:07:29	0:29:10	2:58:13	1:31:15
300	Scott Lutz	M	M45-49	20	5:07:30	0:31:55	2:37:36	1:49:47
