総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
116	2009	⽥辺 翔⼤	22	男	三重	2:44:04	0:30:59	100	0:02:27	1:13:31	87	0:57:07	159	101		20-24男⼦	7		
117	6011	⽥中 晴彦	62	男	東京	2:44:32	0:33:55	145	0:03:07	1:17:02	125	0:50:28	97	102		60-64男⼦	9		
118	5034	河崎 ⼀男	54	男	愛知	2:44:39	0:33:06	132	0:03:49	1:15:26	108	0:52:18	118	103		50-54男⼦	19		
119	6003	鈴⽊ 隆之	60	男	千葉	2:45:22	0:32:47	129	0:02:12	1:13:34	88	0:56:49	156	104		60-64男⼦	10		
120	405	宮澤 智⼦	44	⼥	埼⽟	2:45:48	0:29:28	85	0:02:24	1:19:11	144	0:54:45	140		16	40-44⼥⼦	1		
121	3512	⼤野 慧太	37	男	愛知	2:45:52	0:31:58	116	0:03:06	1:16:23	121	0:54:25	133	105		35-39男⼦	16		
122	5510	稲⼭ 勝義	57	男	愛知	2:46:12	0:31:31	108	0:02:33	1:18:58	141	0:53:10	125	106		55-59男⼦	10		
123	201	⻑藤 宏美	23	⼥	⼤阪	2:46:27	0:25:11	17	0:00:48	1:27:19	200	0:53:09	124		17	20-24⼥⼦	2		
124	4529	佐藤 英雄	49	男	愛知	2:47:03	0:37:29	186	0:02:33	1:13:04	84	0:53:57	129	107		45-49男⼦	12		
125	6007	森 信吾	61	男	愛知	2:47:22	0:39:00	198	0:01:28	1:14:53	98	0:52:01	113	108		60-64男⼦	11		
126	3519	上⼭ 和也	38	男	京都	2:47:27	0:39:13	201	0:03:02	1:19:31	149	0:45:41	46	109		35-39男⼦	17		
127	5026	⾼橋 利造	53	男	愛知	2:47:37	0:36:46	179	0:02:09	1:15:49	115	0:52:53	123	110		50-54男⼦	20		
128	3515	近藤 慶⼀	37	男	愛知	2:48:00	0:41:18	214	0:03:43	1:15:09	101	0:47:50	69	111		35-39男⼦	18		
129	552	中⼭ いずみ	56	⼥	岐⾩	2:48:19	0:33:06	133	0:01:47	1:24:42	187	0:48:44	80		18	55-59⼥⼦	2	岐⾩県⼥⼦	1
130	5520	林 博樹	59	男	愛知	2:48:45	0:30:44	97	0:03:20	1:19:12	145	0:55:29	148	112		55-59男⼦	11		
131	3525	堀内 英仁	39	男	東京	2:49:07	0:26:50	41	0:01:51	1:22:58	168	0:57:28	163	113		35-39男⼦	19		
132	5041	牧野 直秀	54	男	愛知	2:49:14	0:26:42	40	0:02:39	1:18:51	139	1:01:02	183	114		50-54男⼦	21		
133	4514	吉⽥ 涼⼆	46	男	三重	2:49:26	0:35:48	167	0:01:16	1:17:18	131	0:55:04	141	115		45-49男⼦	13		
134	5035	佐々⽊ 和広	54	男	愛知	2:49:29	0:31:37	110	0:02:50	1:17:23	132	0:57:39	166	116		50-54男⼦	22		
135	5024	佐藤 伸⼀	53	男	愛知	2:49:34	0:28:28	73	0:01:11	1:15:44	112	1:04:11	196	117		50-54男⼦	23		
136	6502	千原 寿⼀	65	男	⼤阪	2:50:12	0:34:47	154	0:02:03	1:16:34	122	0:56:48	155	118		65-69男⼦	2		
137	4011	宮⼝ 直之	42	男	広島	2:50:21	0:40:16	207	0:03:41	1:11:41	70	0:54:43	139	119		40-44男⼦	13		
138	505	遠松 純⼦	54	⼥	愛知	2:50:31	0:36:02	169	0:02:03	1:17:14	129	0:55:12	142		19	50-54⼥⼦	1		
139	4012	宮崎 潤平	42	男	愛知	2:50:33	0:27:44	58	0:02:22	1:15:47	113	1:04:40	198	120		40-44男⼦	14		
140	403	崎⾕ ゆかり	41	⼥	広島	2:50:46	0:30:51	98	0:03:32	1:18:55	140	0:57:28	162		20	40-44⼥⼦	2		
141	5004	⻄⼝ 康⼆	50	男	愛知	2:51:09	0:34:39	151	0:02:46	1:19:07	143	0:54:37	136	121		50-54男⼦	24		
